uga_id,id,tissue,species,trial,treatment,replicae,n_perc,c_perc,c13
1,S1A1,leaves,S,1,A,1,5.61,33.66,-31.28
2,S1A2,leaves,S,1,A,2,5.77,31.28,-31.44
3,S1A3,leaves,S,1,A,3,6.42,37.16,-30.72
4,S1A4,leaves,S,1,A,4,4.18,23.69,-31.2
5,S1A5,leaves,S,1,A,5,3.17,18.22,-30.78
6,S1A6,leaves,S,1,A,6,6.06,33.8,-30.12
7,S1A7,leaves,S,1,A,7,6.13,35.27,-30.12
8,S1A8,leaves,S,1,A,8,5.17,28.61,-31.4
9,S1A9,leaves,S,1,A,9,8.15,46.79,-30.71
10,S1A10,leaves,S,1,A,10,6.01,33.59,-31.58
11,S1C1,leaves,S,1,C,1,1.32,27.19,-30.3
12,S1C2,leaves,S,1,C,2,2.49,54.18,-30.93
13,S1C3,leaves,S,1,C,3,0.93,20.18,-31.3
14,S1C4,leaves,S,1,C,4,1.82,38.73,-30.63
15,S1C5,leaves,S,1,C,5,1.86,38.47,-30.52
16,S1C6,leaves,S,1,C,6,1.91,39.29,-29.64
17,S1C7,leaves,S,1,C,7,1.3,31.75,-31.05
18,S1C8,leaves,S,1,C,8,2.59,49.39,-30.47
19,S1C9,leaves,S,1,C,9,1.27,29.17,-31.89
20,S1C10,leaves,S,1,C,10,0.66,15.34,-31.76
21,S2C1,leaves,S,2,C,11,1.35,39.72,-35.19
22,S2C2,leaves,S,2,C,12,0.82,40.41,-33.05
23,S2C3,leaves,S,2,C,13,1.58,39.63,-35.14
24,S2C4,leaves,S,2,C,14,1.53,42.55,-35.18
25,S2C5,leaves,S,2,C,15,1.5,42.08,-35.33
26,S2C6,leaves,S,2,C,16,1.39,40.76,-35.01
27,S2C7,leaves,S,2,C,17,1.63,38.72,-35.85
28,S2C8,leaves,S,2,C,18,1.53,39.95,-36.22
29,S2C9,leaves,S,2,C,19,1.71,44.69,-34.93
30,S2C10,leaves,S,2,C,20,1.23,39.27,-35.43
31,S2A1,leaves,S,2,A,11,5.87,35.17,-36.02
32,S2A2,leaves,S,2,A,12,5.68,35.15,-36.45
33,S2A3,leaves,S,2,A,13,5.91,32.83,-36.02
34,S2A4,leaves,S,2,A,14,6.61,39.15,-35.59
35,S2A5,leaves,S,2,A,15,6.18,34.38,-36.03
36,S2A6,leaves,S,2,A,16,5.44,33.44,-36.39
37,S2A7,leaves,S,2,A,17,5.85,37.86,-36.64
38,S2A8,leaves,S,2,A,18,6.23,36.4,-36.25
39,S2A9,leaves,S,2,A,19,5.43,33.81,-35.86
40,S2A10,leaves,S,2,A,20,6.32,35.55,-36.46
41,P1A1,leaves,P,1,A,1,7.2,27.16,-39.13
42,P1A2,leaves,P,1,A,2,6.9,34.16,-38.54
43,P1A3,leaves,P,1,A,3,7.69,34.47,-39.54
44,P1A4,leaves,P,1,A,4,7.41,29.43,-38.61
45,P1A5,leaves,P,1,A,5,7.42,32.44,-38.66
46,P1A6,leaves,P,1,A,6,7.25,30.56,-38.72
47,P1A7,leaves,P,1,A,7,7.23,31.66,-38.61
48,P1A8,leaves,P,1,A,8,7.19,32.04,-38.58
49,P1A9,leaves,P,1,A,9,7.09,32.83,-38.39
50,P1A10,leaves,P,1,A,10,7.17,33.51,-37.77
51,P1C1,leaves,P,1,C,1,1.06,39.09,-34.38
52,P1C2,leaves,P,1,C,2,1.14,42.03,-34.33
53,P1C3,leaves,P,1,C,3,1.15,39.66,-34.23
54,P1C4,leaves,P,1,C,4,0.94,39.82,-33.5
55,P1C5,leaves,P,1,C,5,1.08,39.37,-33.15
56,P1C6,leaves,P,1,C,6,1.09,40.58,-34.01
57,P1C7,leaves,P,1,C,7,0.91,40.93,-34.17
58,P1C8,leaves,P,1,C,8,1.07,39.16,-32.68
59,P1C9,leaves,P,1,C,9,1.06,39.48,-33.77
60,P1C10,leaves,P,1,C,10,1.03,40.09,-33.76
61,P2C1,leaves,P,2,C,11,1.02,40,-35.7
62,P2C2,leaves,P,2,C,12,1.09,40.36,-34.65
63,P2C3,leaves,P,2,C,13,1.28,38.76,-33.84
64,P2C4,leaves,P,2,C,14,1.03,39.41,-34.92
65,P2C5,leaves,P,2,C,15,1.06,39.42,-36.33
66,P2C6,leaves,P,2,C,16,1.52,40.81,-34.96
67,P2C7,leaves,P,2,C,17,0.8,40.19,-34.04
68,P2C8,leaves,P,2,C,18,1.15,39.55,-34.63
69,P2C9,leaves,P,2,C,19,1.18,40.65,-34.75
70,P2C10,leaves,P,2,C,20,1.16,39.77,-34.71
71,P2A1,leaves,P,2,A,11,4.67,38.28,-37.58
72,P2A2,leaves,P,2,A,12,5.74,34.62,-37.86
73,P2A3,leaves,P,2,A,13,5.91,35.21,-38.08
74,P2A4,leaves,P,2,A,14,6.22,35.29,-37.5
75,P2A5,leaves,P,2,A,15,6.32,37.87,-37.77
76,P2A6,leaves,P,2,A,16,7.29,32.87,-37.26
77,P2A7,leaves,P,2,A,17,4.37,38.01,-34.86
78,P2A8,leaves,P,2,A,18,6.21,41.76,-36.62
79,P2A9,leaves,P,2,A,19,5.9,35.13,-36.5
80,P2A10,leaves,P,2,A,20,5.9,30.56,-37.27
81,B1C1,leaves,B,1,C,1,1.36,39.56,-38.01
82,B1C2,leaves,B,1,C,2,1.59,41.26,-37.95
83,B1C3,leaves,B,1,C,3,1.25,39.26,-37.93
84,B1C4,leaves,B,1,C,4,1.77,39.21,-38.59
85,B1C5,leaves,B,1,C,5,1.4,39.94,-37.58
86,B1C6,leaves,B,1,C,6,1.02,39.47,-37.42
87,B1C7,leaves,B,1,C,7,1.31,38.46,-38.15
88,B1C8,leaves,B,1,C,8,1.21,37.48,-37.55
89,B1C9,leaves,B,1,C,9,1.1,39.19,-37.37
90,B1C10,leaves,B,1,C,10,1.1,38.5,-37.44
91,B1C11,leaves,B,1,C,11,1.03,38.51,-37.65
92,B1C12,leaves,B,1,C,12,1.29,38.56,-37.81
93,B1C13,leaves,B,1,C,13,1.35,41.54,-37.33
94,B1C14,leaves,B,1,C,14,1.18,38.12,-37.78
95,B1C15,leaves,B,1,C,15,1.43,39.26,-37.94
96,B1C16,leaves,B,1,C,16,1.46,38.8,-37.72
97,B1C17,leaves,B,1,C,17,0.49,14.48,-38.27
98,B1C18,leaves,B,1,C,18,1.23,40.27,-37.9
99,B1C19,leaves,B,1,C,19,1.42,39.14,-37.93
100,B1C20,leaves,B,1,C,20,1.31,37.12,-38.18
101,B1A1,leaves,B,1,A,1,5.7,31.65,-38.83
102,B1A2,leaves,B,1,A,2,5.95,38.25,-38.42
103,B1A3,leaves,B,1,A,3,5.45,35.88,-37.11
104,B1A4,leaves,B,1,A,4,5.83,35.3,-38.26
105,B1A5,leaves,B,1,A,5,6.49,40.85,-38.2
106,B1A6,leaves,B,1,A,6,5.51,34.8,-37.89
107,B1A7,leaves,B,1,A,7,5.48,34.47,-37.89
108,B1A8,leaves,B,1,A,8,5.98,34.8,-38.34
109,B1A9,leaves,B,1,A,9,5.44,36.16,-37.63
110,B1A10,leaves,B,1,A,10,5.5,38.17,-38.47
111,B1A11,leaves,B,1,A,11,5.02,36,-38.31
112,B1A12,leaves,B,1,A,12,5.56,31.2,-38.45
113,B1A13,leaves,B,1,A,13,5.13,34.77,-37.88
114,B1A14,leaves,B,1,A,14,5.65,35.63,-38.13
115,B1A15,leaves,B,1,A,15,5.73,34.93,-38.11
116,B1A16,leaves,B,1,A,16,5.72,35.31,-38.19
117,B1A17,leaves,B,1,A,17,5.61,35.14,-38.09
