"treatment","species","plant","week","stomatasize_mm2","sd_mm2"
"A","P",20,2,1.5797154,573.248407643312
"A","P",20,3,1.5135726,408.704883227176
"A","S",1,1,2.6944306,73.8853503184713
"A","S",1,2,4.0276804,42.4628450106157
"A","S",1,3,1.906271,63.6942675159236
"A","S",2,1,2.5274744,71.3375796178344
"A","S",2,2,4.4852248,44.1613588110403
"A","S",2,3,2.1621757,55.2016985138004
"A","S",3,1,3.1356261,73.8853503184713
"A","S",3,2,3.9747206,48.4076433121019
"A","S",3,3,1.9863586,51.8046709129512
"A","S",4,1,2.0857147,84.9256900212314
"A","S",4,2,3.8577882,52.6539278131635
"A","S",4,3,2.1161358,68.7898089171974
"A","S",5,1,2.5208096,88.3227176220807
"A","S",5,2,4.5863498,47.5583864118896
"A","S",5,3,2.2715885,65.3927813163482
"A","S",6,1,3.1076728,63.6942675159236
"A","S",6,2,4.7904031,49.2569002123142
"A","S",6,3,2.6478607,61.9957537154989
"A","S",7,1,3.7997073,78.9808917197452
"A","S",7,2,4.3995579,55.2016985138004
"A","S",7,3,2.4053376,61.1464968152866
"A","S",8,1,2.6146749,79.8301486199575
"A","S",8,2,4.1411128,56.900212314225
"A","S",8,3,1.8984571,49.2569002123142
"A","S",9,1,2.6524013,75.583864118896
"A","S",9,2,3.7151059,66.2420382165605
"A","S",9,3,1.4677379,66.2420382165605
"A","S",10,1,2.4953014,78.9808917197452
"A","S",10,2,4.1198282,56.0509554140127
"A","S",10,3,2.6591182,72.1868365180467
"A","S",11,1,2.094641,53.5031847133758
"A","S",11,2,4.3658049,80.6794055201699
"A","S",11,3,2.3651941,59.447983014862
"A","S",12,1,2.4817548,47.5583864118896
"A","S",12,2,4.051687,91.7197452229299
"A","S",12,3,1.8596119,89.171974522293
"A","S",13,1,2.3556499,42.4628450106157
"A","S",13,2,3.7510289,67.9405520169851
"A","S",13,3,1.8264664,80.6794055201699
"A","S",14,1,3.2597749,39.0658174097665
"A","S",14,2,3.8615956,81.5286624203822
"A","S",14,3,1.7850479,63.6942675159236
"A","S",15,1,2.5297439,52.6539278131635
"A","S",15,2,4.3351707,66.2420382165605
"A","S",15,3,1.4147078,65.3927813163482
"A","S",16,1,2.6533622,52.6539278131635
"A","S",16,2,3.9557147,55.2016985138004
"A","S",16,3,3.9314182,92.5690021231422
"A","S",17,1,3.3233107,42.4628450106157
"A","S",17,2,4.1460589,95.9660297239915
"A","S",17,3,3.5615908,83.2271762208068
"A","S",18,1,3.017403,50.1061571125265
"A","S",18,2,3.4660979,73.8853503184713
"A","S",18,3,3.952939,81.5286624203822
"A","S",19,1,1.9817344,45.859872611465
"A","S",19,2,3.8465102,83.2271762208068
"A","S",19,3,3.8638877,73.036093418259
"A","S",20,1,2.8885072,56.0509554140127
"A","S",20,2,3.6430232,87.4734607218684
"A","S",20,3,NA,77.2823779193206
"C","B",1,1,1.3048955,371.549893842887
"C","B",1,2,0.841455,403.397027600849
"C","B",1,3,0.9502431,440.552016985138
"C","B",2,1,1.316478,313.163481953291
"C","B",2,2,0.9680038,376.857749469214
"C","B",2,3,1.0671208,387.473460721868
"C","B",3,1,1.4273761,318.471337579618
"C","B",3,2,0.9064927,414.012738853503
"C","B",3,3,1.1267698,472.3991507431
"C","B",4,1,1.4221515,376.857749469214
"C","B",4,2,0.8637594,403.397027600849
"C","B",4,3,0.9501314,408.704883227176
"C","B",5,1,1.2837368,318.471337579618
"C","B",5,2,1.0762,387.473460721868
"C","B",5,3,0.9778696,488.322717622081
"C","B",6,1,1.5271921,260.084925690021
"C","B",6,2,1.1550174,414.012738853503
"C","B",6,3,0.8678545,467.091295116773
"C","B",7,1,1.0655722,483.014861995754
"C","B",7,2,1.4037289,355.626326963907
"C","B",7,3,0.8719514,429.936305732484
"C","B",8,1,1.7174823,366.24203821656
"C","B",8,2,0.9633829,403.397027600849
"C","B",8,3,0.8727446,382.165605095541
"C","B",9,1,1.5021839,318.471337579618
"C","B",9,2,1.1233835,477.707006369427
"C","B",9,3,1.0303269,355.626326963907
"C","B",10,1,1.39564,270.700636942675
"C","B",10,2,0.9866452,445.859872611465
"C","B",10,3,0.9316538,392.781316348195
"C","B",11,1,1.3368459,318.471337579618
"C","B",11,2,1.3765264,329.087048832272
"C","B",11,3,0.845003,392.781316348195
"C","B",12,1,0.9694023,350.31847133758
"C","B",12,2,1.1834817,467.091295116773
"C","B",12,3,0.9722363,371.549893842887
"C","B",13,1,1.2756276,334.394904458599
"C","B",13,2,1.0371938,483.014861995754
"C","B",13,3,0.949951,403.397027600849
"C","B",14,1,1.3422821,345.010615711253
"C","B",14,2,1.1029371,461.783439490446
"C","B",14,3,0.8573146,414.012738853503
"C","B",15,1,1.0937603,366.24203821656
"C","B",15,2,0.9571242,424.628450106157
"C","B",15,3,0.9526198,403.397027600849
"C","B",16,1,0.9584504,403.397027600849
"C","B",16,2,1.0470318,408.704883227176
"C","B",16,3,0.9681584,429.936305732484
"C","B",17,1,0.8546421,445.859872611465
"C","B",17,2,1.2207693,281.316348195329
"C","B",17,3,0.9343987,323.779193205945
"C","B",18,1,1.1881725,345.010615711253
"C","B",18,2,1.0972468,408.704883227176
"C","B",18,3,0.9215229,387.473460721868
"C","B",19,1,1.2429502,360.934182590233
"C","B",19,2,0.9729637,440.552016985138
"C","B",19,3,0.9120834,414.012738853503
"C","B",20,1,1.2342838,408.704883227176
"C","B",20,2,1.0748787,504.246284501061
"C","B",20,3,0.9675257,387.473460721868
"C","P",1,1,2.5296343,185.774946921444
"C","P",1,2,1.8600382,562.632696390658
"C","P",1,3,1.2478139,557.324840764331
"C","P",1,4,1.2714587,530.785562632696
"C","P",2,1,2.4786638,201.698513800425
"C","P",2,2,1.7790318,599.787685774947
"C","P",2,3,1.800983,530.785562632696
"C","P",2,4,1.2520432,520.169851380042
"C","P",3,1,2.4579617,191.082802547771
"C","P",3,2,1.8616256,663.48195329087
"C","P",3,3,2.0131109,520.169851380042
"C","P",3,4,1.2288034,493.630573248408
"C","P",4,1,2.4627994,207.006369426752
"C","P",4,2,2.1947006,589.171974522293
"C","P",4,3,1.9687197,562.632696390658
"C","P",4,4,1.4014639,445.859872611465
"C","P",5,1,2.2715166,233.545647558386
"C","P",5,2,1.7419875,546.709129511677
"C","P",5,3,1.7836917,445.859872611465
"C","P",5,4,1.4264137,594.47983014862
"C","P",6,1,2.5394977,148.619957537155
"C","P",6,2,1.7508046,589.171974522293
"C","P",6,3,1.2924441,429.936305732484
"C","P",6,4,1.5739617,483.014861995754
"C","P",7,1,1.9497562,451.167728237792
"C","P",7,2,2.4430007,461.783439490446
"C","P",7,3,1.5966537,403.397027600849
"C","P",7,4,1.6091696,562.632696390658
"C","P",8,1,2.1528562,281.316348195329
"C","P",8,2,1.6099193,647.55838641189
"C","P",8,3,1.6205219,435.244161358811
"C","P",8,4,1.3181818,525.477707006369
"C","P",9,1,2.1262092,281.316348195329
"C","P",9,2,1.9713208,472.3991507431
"C","P",9,3,1.5620344,355.626326963907
"C","P",9,4,1.3998979,567.940552016985
"C","P",10,1,2.7162709,260.084925690021
"C","P",10,2,1.9109817,557.324840764331
"C","P",10,3,1.2061401,743.099787685775
"C","P",10,4,1.7379313,461.783439490446
"C","P",11,1,2.0495368,185.774946921444
"C","P",11,2,1.6697571,578.556263269639
"C","P",11,3,2.0802279,509.554140127388
"C","P",12,1,1.5419246,313.163481953291
"C","P",12,2,1.9694826,578.556263269639
"C","P",12,3,1.9069937,520.169851380042
"C","P",13,1,1.767102,164.543524416136
"C","P",13,2,1.7205999,483.014861995754
"C","P",13,3,2.0253669,498.938428874735
"C","P",14,1,2.5500533,201.698513800425
"C","P",14,2,1.8928757,472.3991507431
"C","P",14,3,2.1706814,456.475583864119
"C","P",15,1,1.9337645,180.467091295117
"C","P",15,2,1.9437829,467.091295116773
"C","P",15,3,1.8173475,536.093418259023
"C","P",16,1,2.1069284,201.698513800425
"C","P",16,2,1.8115046,414.012738853503
"C","P",16,3,1.8660323,552.016985138004
"C","P",17,1,2.9979179,185.774946921444
"C","P",17,2,1.9547961,589.171974522293
"C","P",17,3,2.268868,493.630573248408
"C","P",18,1,2.4840491,191.082802547771
"C","P",18,2,2.0025639,467.091295116773
"C","P",18,3,1.8435324,440.552016985138
"C","P",19,1,2.2719093,233.545647558386
"C","P",19,2,2.4165945,467.091295116773
"C","P",19,3,1.6449951,557.324840764331
"C","P",20,1,2.0614638,254.777070063694
"C","P",20,2,1.6729403,583.864118895966
"C","P",20,3,1.7131317,467.091295116773
"C","S",1,1,4.4712582,66.2420382165605
"C","S",1,2,2.5301869,120.594479830149
"C","S",1,3,1.7200374,106.157112526539
"C","S",2,1,4.4094027,69.6390658174098
"C","S",2,2,2.4933245,97.6645435244161
"C","S",2,3,1.7924117,107.006369426752
"C","S",3,1,2.9019177,66.2420382165605
"C","S",3,2,1.900782,118.046709129512
"C","S",3,3,1.9738657,100.212314225053
"C","S",4,1,3.1009502,62.8450106157113
"C","S",4,2,3.3129488,101.061571125265
"C","S",4,3,2.9219327,86.6242038216561
"C","S",5,1,3.4506331,56.0509554140127
"C","S",5,2,3.5874796,119.745222929936
"C","S",5,3,2.3707813,96.8152866242038
"C","S",6,1,2.9551741,87.4734607218684
"C","S",6,2,3.1452402,128.237791932059
"C","S",6,3,1.9086369,104.458598726115
"C","S",7,1,3.7879643,70.4883227176221
"C","S",7,2,3.555596,107.006369426752
"C","S",7,3,2.2428109,86.624203821656
"C","S",8,1,3.0650628,61.1464968152866
"C","S",8,2,3.0894335,139.27813163482
"C","S",8,3,1.9458029,90.8704883227176
"C","S",9,1,3.5286678,56.9002123142251
"C","S",9,2,3.7210857,106.157112526539
"C","S",9,3,2.0921103,81.5286624203822
"C","S",10,1,3.6013474,61.1464968152866
"C","S",10,2,4.3626321,110.403397027601
"C","S",10,3,2.2795724,101.061571125265
"C","S",11,1,2.6305217,47.5583864118896
"C","S",11,2,3.2754396,104.458598726115
"C","S",11,3,2.647705,109.554140127389
"C","S",12,1,5.1002165,28.8747346072187
"C","S",12,2,3.6488456,75.583864118896
"C","S",12,3,2.8414385,90.0212314225053
"C","S",13,1,2.2930647,53.5031847133758
"C","S",13,2,3.6968189,101.061571125265
"C","S",13,3,2.2153725,128.237791932059
"C","S",14,1,2.2589655,41.6135881104034
"C","S",14,2,4.4541726,112.951167728238
"C","S",14,3,2.5037176,95.9660297239915
"C","S",15,1,2.6111328,38.2165605095541
"C","S",15,2,3.984664,127.388535031847
"C","S",15,3,2.8444483,113.80042462845
"C","S",16,1,2.0026315,51.8046709129512
"C","S",16,2,3.2499413,108.704883227176
"C","S",16,3,2.9916399,119.745222929936
"C","S",17,1,2.1009576,80.6794055201699
"C","S",17,2,3.4434083,112.101910828025
"C","S",17,3,2.1803256,135.031847133758
"C","S",18,1,2.360755,39.7452229299363
"C","S",18,2,3.7467884,122.292993630573
"C","S",18,3,1.7282024,129.087048832272
"C","S",19,1,2.3664379,48.4076433121019
"C","S",19,2,3.9766869,132.484076433121
"C","S",19,3,1.8704869,108.704883227176
"C","S",20,1,2.8186781,35.6687898089172
"C","S",20,2,3.4122403,117.197452229299
"C","S",20,3,1.8418914,111.252653927813
