species,trial,date,hhmmss,treatment,replicate,E,Emm,A,Ca,Ci,gsw,TleafEB,TleafCnd,RHcham,VPDleaf,LatHFlux,SenHFlux,Qin,S,Tair,Tleaf
S,1,20211026 10:57:14,10:57:14,a,5,0.004216502,4.216502068,14.02420053,410.486,361.0279754,0.56325696,20.34828904,19.9499,64.84480825,0.820388208,-185.9477412,2.725645446,1499.99,3,19.9713,19.9499
S,1,20211026 11:03:05,11:03:05,a,6,0.00390752,3.907519649,11.33016891,412.226,368.2746428,0.516465096,20.45040614,19.9578,64.84270842,0.821422571,-172.3216165,1.927988458,1500,3,19.973,19.9578
S,1,20211026 11:05:25,11:05:25,a,7,0.003676085,3.676085134,12.0007798,411.834,361.3961763,0.465455212,20.50595002,19.971,63.84552148,0.848290741,-162.1153544,-1.93334693,1500.01,3,19.9558,19.971
S,1,20211026 11:07:39,11:07:39,a,8,0.003173569,3.17356868,11.75750105,412.093,357.8864782,0.414967675,20.6734633,19.8115,64.35249761,0.812750605,-139.9543788,19.21389228,1500,3,19.9626,19.8115
S,1,20211026 11:09:58,11:09:58,a,9,0.004690511,4.690511386,15.87741241,409.323,360.3928058,0.653479085,20.19688668,19.805,64.7809775,0.800957419,-206.8515521,21.22001164,1500,3,19.9714,19.805
S,1,20211026 11:12:35,11:12:35,a,10,0.004393099,4.393098547,11.29823998,412.042,374.2263479,0.619323022,20.28643522,19.7061,64.81663601,0.786513571,-193.7356459,32.95782849,1499.99,3,19.9653,19.7061
S,1,20211030 11:32:01,11:32:01,c,1,0.002225152,2.225151792,7.969378316,414.663,346.4512688,0.215718343,26.05101364,24.7973,65.90276073,1.040230142,-98.12919403,31.75485397,1500,3,25.0458,24.7973
S,1,20211030 10:51:31,10:51:31,c,2,0.000867865,0.867865404,5.934743186,416.261,278.7243962,0.073623442,26.45215663,25.2887,65.49507397,1.150797081,-38.2728643,-35.22779559,1500,3,25.012,25.2887
S,1,20211030 11:04:28,11:04:28,c,3,0.001666636,1.666636102,7.424295665,415.146,338.7308235,0.174506816,26.18160713,24.1914,65.25655385,0.954993137,-73.49865211,102.7398911,1500,3,24.9971,24.1914
S,1,20211030 11:27:08,11:27:08,c,4,0.001644854,1.644853996,5.963539993,416.003,338.0016632,0.138819034,26.18821562,25.334,65.10107756,1.174295716,-72.53806122,-43.25391678,1500,3,24.9939,25.334
S,1,20211030 11:16:07,11:16:07,c,5,0.00157275,1.572750156,6.887737324,415.512,326.7074712,0.138370329,26.22301428,25.134,65.36403837,1.1264437,-69.35828186,-16.63069273,1500,3,25.0029,25.134
S,1,20211030 10:12:02,10:12:02,c,6,0.001361161,1.361160774,4.980633712,417.924,341.8569469,0.118395184,26.32074366,25.2227,65.52562907,1.134135803,-60.02719011,-23.71916723,1500,3,25.0362,25.2227
S,1,20211030 10:33:50,10:33:50,c,7,0.001243406,1.243405968,7.882917244,414.985,296.7729747,0.11529999,26.31459806,24.6457,64.48165578,1.063749858,-54.83420321,44.08850024,1500,3,24.9924,24.6457
S,1,20211030 10:40:44,10:40:44,c,8,0.000546168,0.546167626,3.546778155,417.752,277.754818,0.043075452,26.54664964,24.6618,59.25693157,1.231060237,-24.08599229,44.17865177,1500.01,3,25.0079,24.6618
S,1,20211030 10:16:45,10:16:45,c,9,0.001646298,1.646298397,5.608993514,415.837,342.0874046,0.13899739,26.21662197,25.18,64.05628973,1.174163591,-72.60175929,-19.77452074,1500,3,25.0248,25.18
S,1,20211030 10:22:59,10:22:59,c,10,0.000844621,0.844621343,4.770751214,416.88,298.9926906,0.069820976,26.44653523,25.4262,65.47217327,1.179781716,-37.24780124,-54.44952207,1499.99,3,24.9983,25.4262
S,1,20211102 11:25:48,11:25:48,a,1,0.002254946,2.254946029,8.159472757,414.517,357.5477687,0.266939144,20.98771482,20.4009,64.6414825,0.888471716,-99.44311987,-51.79680615,1500,3,20.0016,20.4009
S,1,20211102 11:16:34,11:16:34,a,2,0.00173016,1.730159781,6.384357899,415.696,354.8032469,0.192303446,21.14327084,20.6818,64.67121528,0.930850323,-76.30004636,-89.50584167,1499.99,3,19.9905,20.6818
S,1,20211102 11:21:03,11:21:03,a,3,0.001678065,1.678065272,5.924590014,416.045,360.0658964,0.195189473,21.16076531,20.4221,64.73906296,0.890206538,-74.00267852,-55.68352616,1500,3,19.9923,20.4221
S,1,20211102 11:40:48,11:40:48,a,4,0.001762905,1.762904522,10.15024852,413.48,327.0630177,0.208213843,21.1431443,20.3928,64.97974528,0.879113368,-77.74408941,-50.5075348,1500,3,20.0039,20.3928
S,1,20211102 11:30:15,11:30:15,a,5,0.002381213,2.381213046,10.96417297,412.834,345.3019625,0.297559749,20.94171235,20.139,64.76801894,0.847184009,-105.0114953,-18.3050953,1499.99,3,19.9984,20.139
S,1,20211102 11:50:00,11:50:00,a,6,0.002302737,2.302737346,7.398279291,415.004,370.1678631,0.314577322,20.97280247,19.6742,64.82889268,0.778091612,-101.5507169,42.76781226,1500,3,20.0033,19.6742
S,1,20211102 11:54:05,11:54:05,a,7,0.002530765,2.530765401,11.58004077,412.472,345.8022931,0.319900742,20.88536055,20.0846,64.71555056,0.841749667,-111.6067542,-12.94220704,1500,3,19.9847,20.0846
S,1,20211102 11:35:20,11:35:20,a,8,0.001053818,1.053818161,7.951632774,414.936,300.6269663,0.119319287,21.36198927,20.5635,65.22919459,0.899036748,-46.47338091,-73.1178027,1500,3,20.0005,20.5635
S,1,20211102 11:45:25,11:45:25,a,9,0.003048746,3.048746392,12.26475431,411.908,354.6867636,0.405436139,20.73698585,19.9352,64.88191881,0.814459312,-134.4497159,8.748950241,1500,3,20.0024,19.9352
S,1,20211102 11:59:59,11:59:59,a,10,0.001254549,1.254549069,6.833007025,415.563,340.2475578,0.160128789,21.29426387,19.9145,65.17968031,0.805119217,-55.32561396,10.53192253,1500,3,19.9956,19.9145
S,1,20211102 12:09:23,12:09:23,c,1,0.000459405,0.459405487,2.467058338,418.367,335.9732587,0.051798823,21.55689564,20.4307,64.79463273,0.889193551,-20.25978198,-55.32743446,1500,3,20.0028,20.4307
S,1,20211102 12:14:43,12:14:43,c,2,0.000240316,0.240315746,1.355411654,419.153,334.4266102,0.027453782,21.60337611,20.357,65.08843849,0.872709396,-10.59792439,-47.90860843,1500,3,19.9885,20.357
S,1,20211102 12:19:30,12:19:30,c,3,0.000308122,0.308121902,1.153081056,419.234,357.4369354,0.033168415,21.57223516,20.7075,65.05293863,0.927079039,-13.58817589,-94.89044378,1500,3,19.9767,20.7075
S,1,20211102 12:23:56,12:23:56,c,4,0.000219649,0.219648804,0.955324019,419.403,352.8195274,0.025118118,21.61187972,20.3545,65.1269826,0.871179815,-9.686512267,-47.25362567,1500,3,19.9912,20.3545
S,1,20211102 12:30:42,12:30:42,c,5,0.000525567,0.525567318,3.445879132,417.822,314.8796967,0.05718871,21.5265344,20.6755,64.96715667,0.922072882,-23.17751872,-87.76717534,1500,3,19.9999,20.6755
S,1,20211102 12:36:46,12:36:46,c,6,0.00029144,0.291439929,0.958491688,419.355,364.9687629,0.031758094,21.59439466,20.6759,65.27654785,0.915318772,-12.85250088,-88.4777406,1500,3,19.9952,20.6759
S,1,20211102 12:39:46,12:39:46,c,7,0.000398165,0.398164839,1.661414286,418.953,349.4704032,0.042129467,21.56005629,20.8035,64.87494365,0.944802593,-17.5590694,-105.5918527,1500,3,19.9871,20.8035
S,1,20211102 12:44:42,12:44:42,c,8,0.000319882,0.31988151,1.638855983,418.909,339.5256123,0.035727717,21.59487151,20.5021,65.07278337,0.893760127,-14.10677458,-65.23038408,1500,3,19.998,20.5021
S,1,20211102 12:49:27,12:49:27,c,9,0.000605836,0.605835831,3.459201077,417.744,327.639351,0.066288489,21.46795128,20.6384,65.00485663,0.91849003,-26.71736014,-87.10377513,1500.01,3,19.9693,20.6384
S,1,20211102 12:56:08,12:56:08,c,10,0.00057813,0.57812984,3.611971709,417.682,320.6439959,0.063866014,21.43812562,20.5556,65.01621773,0.909198321,-25.49552594,-81.16562421,1500,3,19.9332,20.5556
S,2,20211109 11:00:28,11:00:28,a,1,0.003023986,3.023985621,9.943546755,413.021,369.2280635,0.441918109,20.74265775,19.5131,65.29623021,0.744982857,-133.3577659,62.32162539,1500,3,19.9953,19.5131
S,2,20211109 11:05:06,11:05:06,a,2,0.001699374,1.699374116,9.303073496,413.968,330.3848393,0.197649219,21.17458353,20.4683,65.07258399,0.887842847,-74.94239853,-59.41689466,1499.96,3,20.0073,20.4683
S,2,20211109 11:10:43,11:10:43,a,3,0.001722719,1.722719045,9.968404936,413.518,329.5484323,0.210555074,21.1533642,20.1811,65.03800627,0.84719027,-75.97190989,-23.85113704,1500,3,19.9966,20.1811
S,2,20211109 11:12:50,11:12:50,a,4,0.002083112,2.083111576,9.545236694,413.715,342.8212267,0.244496883,21.04662346,20.4035,64.64777399,0.888691416,-91.86522051,-51.84834062,1499.99,3,20.0018,20.4035
S,2,20211109 11:19:01,11:19:01,a,5,0.002504389,2.504389324,10.94220928,412.827,346.7644954,0.305356662,20.89567073,20.3134,65.08134948,0.866471012,-110.4435692,-42.22022262,1500,3,19.988,20.3134
S,2,20211109 11:21:35,11:21:35,a,6,0.003038097,3.038096793,13.00738292,411.474,345.8399176,0.37034383,20.75253745,20.351,64.7013469,0.878885736,-133.9800686,-44.10329466,1500.01,3,20.0099,20.351
S,2,20211109 11:24:17,11:24:17,a,7,0.003069459,3.069459499,11.48535496,412.353,357.9029069,0.401634469,20.73321898,20.048,65.16831266,0.824150275,-135.3631639,-5.949203235,1500,3,20.0021,20.048
S,2,20211109 11:26:27,11:26:27,a,8,0.004596437,4.596437313,16.8697127,408.783,364.0550979,0.767308209,20.23950287,19.1517,65.27283113,0.695627102,-202.7028855,108.1746308,1500,3,19.9875,19.1517
S,2,20211109 11:28:46,11:28:46,a,9,0.003248816,3.24881635,9.933963042,413.257,366.8847493,0.418292151,20.68135595,20.0755,64.6245242,0.840546401,-143.272801,-8.988492081,1500,3,20.0061,20.0755
S,2,20211109 11:32:28,11:32:28,a,10,0.002383718,2.383717586,11.71476251,412.372,339.5126764,0.293014776,20.94003916,20.2471,65.04779988,0.857428616,-105.1219455,-33.32324505,1500,3,19.9885,20.2471
S,2,20211109 11:38:31,11:38:31,c,1,0.000428752,0.428751805,2.941054177,418.103,311.572908,0.046954451,21.5666482,20.5838,64.84482315,0.910798111,-18.90795461,-75.04869402,1500.01,3,20.0037,20.5838
S,2,20211109 11:43:09,11:43:09,c,2,0.000596678,0.596678106,4.542280941,417.796,302.7358186,0.066953964,21.34630577,20.4469,64.96800288,0.891741407,-26.31350447,-69.24956431,1500,2.25,19.9582,20.4469
S,2,20211109 11:50:12,11:50:12,c,3,0.000989727,0.989727205,3.748399517,418.176,356.5666667,0.109415306,21.27536294,20.5999,64.84708224,0.91293461,-43.64696972,-84.5107946,1500,2.25,20.0061,20.5999
S,2,20211109 11:46:49,11:46:49,c,4,0.000647854,0.647853578,4.40899137,417.215,309.8097434,0.070149553,21.48805857,20.7155,65.0917285,0.925762085,-28.57034277,-93.35268836,1500,3,19.9938,20.7155
S,2,20211109 11:54:16,11:54:16,c,5,0.00070899,0.708989526,4.628838487,417.062,313.3125251,0.07651941,21.46857652,20.7388,65.05128274,0.930194721,-31.2664381,-96.36091441,1500,3,19.9942,20.7388
S,2,20211109 11:57:33,11:57:33,c,6,0.000887088,0.887088387,4.627493889,416.93,337.5022947,0.101979975,21.41657816,20.4369,65.32940271,0.878352658,-39.12059786,-57.09070069,1500,3,19.9945,20.4369
S,2,20211109 12:00:20,12:00:20,c,7,0.001558529,1.558529491,7.095741436,415.375,353.9349906,0.208633976,21.19113008,19.7168,65.38713825,0.772645298,-68.73115057,35.03358855,1500,3,19.9868,19.7168
S,2,20211109 12:02:49,12:02:49,c,8,0.000804667,0.804667047,4.104947404,417.338,337.2779418,0.08967027,21.4367182,20.5856,65.22092425,0.903462857,-35.48581678,-76.8812592,1500,3,19.9908,20.5856
S,2,20211109 12:05:27,12:05:27,c,9,0.000659317,0.659316646,3.294646746,417.845,341.3962503,0.075299802,21.49316464,20.384,64.9494123,0.878802552,-29.07586407,-49.49612671,1500,3,20.0009,20.384
S,2,20211109 12:09:49,12:09:49,c,10,0.000886334,0.886334172,3.180181237,417.863,360.7382673,0.100704207,21.36682528,20.4686,65.2932713,0.888250478,-39.08733699,-67.30168404,1500,3,19.9488,20.4686
S,2,20211116 10:44:27,10:44:27,c,1,0.000804358,0.804358408,7.326517964,416.458,306.4044156,0.112990568,21.31911198,19.9064,68.72687641,0.720491934,-35.4722058,13.05299879,1500,2.25,19.998,19.9064
S,2,20211116 11:30:54,11:30:54,c,2,0.000874948,0.874947894,3.310063854,418.347,363.353282,0.10833313,21.27736843,19.9278,64.86992586,0.81674019,-38.58520211,5.951836705,1500,2.25,19.9698,19.9278
S,2,20211116 11:16:27,11:16:27,c,3,0.000437736,0.437735511,4.231056411,417.786,264.1370462,0.045998657,21.37173995,20.7633,64.68471911,0.949618743,-19.30413602,-118.0228856,1500,2.4,19.9183,20.7633
S,2,20211116 11:01:25,11:01:25,c,4,0.000548848,0.548847961,4.232488139,416.932,305.0092042,0.064144286,21.51534662,20.2777,65.19157969,0.858690475,-24.20419507,-37.5035913,1500,3,19.9872,20.2777
S,2,20211116 11:04:29,11:04:29,c,5,0.000603969,0.603969235,4.29232386,416.946,308.898397,0.06770514,21.50111694,20.5145,65.09749583,0.895713374,-26.63504325,-67.63185539,1500,3,19.9908,20.5145
S,2,20211116 11:08:54,11:08:54,c,6,0.000494019,0.494018922,3.749556794,418.121,304.5560542,0.055899279,21.35717051,20.398,65.04938085,0.883876772,-21.78623448,-64.53147888,1500,2.25,19.9443,20.398
S,2,20211116 11:19:37,11:19:37,c,7,0.000433039,0.433039117,3.539409112,417.785,288.246755,0.046019083,21.54502941,20.6804,64.28444135,0.939700657,-19.09702507,-89.6872748,1500,3,19.9906,20.6804
S,2,20211116 11:22:58,11:22:58,c,8,0.000640527,0.640526651,3.952351844,417.454,317.2308794,0.067751464,21.49729099,20.81,64.70632986,0.948643111,-28.24722532,-104.7829013,1500,3,19.9988,20.81
S,2,20211116 11:26:03,11:26:03,c,9,0.00044371,0.443710062,2.774327207,418.206,319.989939,0.048321605,21.57023817,20.5488,64.29853344,0.917609489,-19.56761373,-69.4559159,1500.03,3,20.0119,20.5488
S,2,20211116 10:50:32,10:50:32,c,10,0.000889183,0.889183247,5.044718526,416.512,328.2125492,0.099249873,21.37497346,20.5845,65.07145447,0.905186449,-39.21298118,-77.61443915,1500,2.7,20.0079,20.5845
S,2,20211116 11:38:16,11:38:16,a,1,0.003550457,3.550456919,13.60226467,410.941,350.8141545,0.431903629,20.55126009,20.441,64.83080971,0.893105826,-156.5751501,-60.93954802,1500,3,19.9685,20.441
S,2,20211116 11:43:56,11:43:56,a,2,0.002045274,2.045274213,7.588624278,414.935,358.4494483,0.249089957,21.05775297,20.2102,64.74171458,0.858246074,-90.1965928,-27.26579125,1500.02,3,19.9984,20.2102
S,2,20211116 11:47:18,11:47:18,a,3,0.003740277,3.74027704,11.16354419,412.421,370.0164576,0.525767853,20.51289597,19.7253,64.75831127,0.788220387,-164.9462175,34.3177094,1500,3,19.9909,19.7253
S,2,20211116 11:50:24,11:50:24,a,4,0.002253217,2.253216909,12.51716477,411.996,338.5998235,0.309021517,20.97475066,19.6541,65.02906087,0.771989814,-99.36686568,43.27391934,1500,3,19.9878,19.6541
S,2,20211116 11:57:01,11:57:01,a,5,0.003266146,3.266146035,10.24299023,413.013,365.5197744,0.419890326,20.67428189,20.1327,64.89662915,0.842546135,-144.0370401,-16.47121106,1500,3,20.0058,20.1327
S,2,20211116 12:00:24,12:00:24,a,6,0.004194051,4.194051037,12.80857424,411.286,369.9386827,0.628181808,20.37244952,19.5653,65.18933027,0.755106255,-184.9576507,55.20757953,1500,3,19.993,19.5653
S,2,20211116 12:06:25,12:06:25,a,7,0.002219362,2.219362265,8.274197922,414.491,358.2649701,0.273966172,21.00827476,20.169,64.7640998,0.851060198,-97.87387586,-21.14649971,1499.99,3,20.0049,20.169
S,2,20211116 12:09:34,12:09:34,a,8,0.002964391,2.964390544,10.90281517,412.697,360.3608643,0.397172222,20.77244404,19.8341,64.64804734,0.804906869,-130.729623,22.38362481,1500,3,20.0071,19.8341
S,2,20211116 12:13:08,12:13:08,a,9,0.004122721,4.122721066,11.03843437,412.372,375.6868611,0.619358451,20.38438911,19.4667,64.79959815,0.751138775,-181.811999,67.05265246,1500,3,19.984,19.4667
S,2,20211116 12:17:14,12:17:14,a,10,0.002210764,2.210763967,10.39410035,413.231,343.592978,0.271864813,20.99975131,20.2605,65.26315826,0.853395261,-97.49469093,-33.93028051,1500,3,19.9986,20.2605
S,2,20211123 08:49:04,08:49:04,c,1,0.000722745,0.7227448,4.029661322,416.028,325.1879479,0.076739437,21.32110735,20.8095,65.02812556,0.943282736,-31.87304569,-118.7829715,1500,2.25,19.9748,20.8095
S,2,20211123 08:53:40,08:53:40,c,2,0.000773591,0.773590936,3.549848662,417.439,353.8876408,0.098604049,21.31335595,19.7601,64.93538597,0.789978288,-34.1153603,31.4344897,1500,2.25,19.9811,19.7601
S,2,20211123 08:56:46,08:56:46,c,3,0.000764749,0.764748548,2.876841736,418.152,356.7472563,0.083931611,21.33708596,20.6357,65.04393976,0.914099078,-33.72541099,-90.12782929,1500,2.25,20.0018,20.6357
S,2,20211123 09:01:48,09:01:48,c,4,0.000542797,0.542797156,3.571574542,417.571,318.4128529,0.061598277,21.51927836,20.4244,65.14873392,0.881403337,-23.93735459,-56.34392497,1500,3,19.9874,20.4244
S,2,20211123 09:05:33,09:05:33,c,5,0.000498459,0.498459495,3.173445298,418.118,315.9591778,0.053098269,21.47548902,20.8036,65.21666074,0.936379178,-21.98206375,-109.4339497,1500,2.7,19.9916,20.8036
S,2,20211123 09:11:24,09:11:24,c,6,0.00067549,0.675489863,2.893540373,418.302,346.8741838,0.071566879,21.42769996,20.8429,65.07139146,0.945388548,-29.78910296,-114.0384661,1500,2.7,19.9955,20.8429
S,2,20211123 09:16:32,09:16:32,c,7,0.000563557,0.563557337,2.926050476,418.584,336.6050026,0.061944696,21.36313814,20.5997,65.15529428,0.90898108,-24.85287856,-89.46143495,1500,2.25,19.9711,20.5997
S,2,20211123 09:22:03,09:22:03,c,8,0.000652035,0.65203512,3.34462037,417.764,334.8636233,0.070253775,21.47016829,20.692,64.8276455,0.930235259,-28.7547488,-92.63482998,1500.01,3,19.9744,20.692
S,2,20211123 09:24:57,09:24:57,c,9,0.000641958,0.641958231,3.899439147,417.501,325.8187643,0.073263738,21.4521445,20.4133,65.31317478,0.878977291,-28.31035798,-59.2479167,1500,3,19.9549,20.4133
S,2,20211123 09:27:26,09:27:26,c,10,0.000720623,0.720622904,4.229762696,417.289,330.5928514,0.084422289,21.45656423,20.2808,65.22952907,0.858428495,-31.77947006,-38.21624797,1500,3,19.9854,20.2808
S,2,20211123 09:34:17,09:34:17,a,1,0.001993805,1.993804696,7.669012557,414.888,358.2016097,0.250021827,21.08763031,20.0846,65.00244954,0.832341175,-87.9267871,-9.21417349,1500,3,20.0131,20.0846
S,2,20211123 09:38:35,09:38:35,a,2,0.002434538,2.434538277,11.55722905,412.47,340.0420335,0.291428576,20.9314966,20.3731,64.85707238,0.879673205,-107.363138,-48.48370376,1500,3,19.9975,20.3731
S,2,20211123 09:46:55,09:46:55,a,3,0.002275124,2.275123732,7.236486265,415.091,367.6579482,0.289847716,20.98630504,20.0452,65.05038204,0.82649119,-100.3329566,-5.539070522,1500,3,20.0023,20.0452
S,2,20211123 09:52:12,09:52:12,a,4,0.002024868,2.024867585,10.76393785,413.062,335.2687456,0.248626057,21.06147999,20.226,65.20079287,0.84977869,-89.29666051,-29.36047285,1500,3,19.9986,20.226
S,2,20211123 09:55:05,09:55:05,a,5,0.002427788,2.427788031,11.0999686,412.751,349.5625177,0.324098105,20.93828297,19.8483,65.1940706,0.794996166,-107.0654522,19.23136646,1500.01,3,19.998,19.8483
S,2,20211123 10:03:20,10:03:20,a,6,0.000926922,0.926922387,4.754875069,416.916,332.9383009,0.099121757,21.40961384,20.8304,65.03464237,0.943613042,-40.87727727,-106.998392,1500,3,20.0033,20.8304
S,2,20211123 10:11:35,10:11:35,a,7,0.001672454,1.672453868,6.520812742,415.679,353.0226852,0.189802013,21.17155837,20.6495,65.42647173,0.907511596,-73.7552156,-84.12065677,1500,3,19.9985,20.6495
S,2,20211123 10:18:33,10:18:33,a,8,0.00200376,2.003759592,7.15294043,415.179,365.9545605,0.271815103,21.06752869,19.6478,64.8814829,0.773647248,-88.36579799,45.11092185,1500,3,19.9974,19.6478
S,2,20211123 10:25:04,10:25:04,a,9,0.003814485,3.814484746,14.51909385,410.371,360.3218243,0.568115319,20.49488463,19.5037,65.0456783,0.749294436,-168.2187773,64.05649266,1500,3,19.9978,19.5037
